,X_English,X_French,X_Spanish,X_Portugeese,X_Italian,X_Russian,X_Sweedish,X_Dutch,X_Turkish,X_German,X_Danish,Total
5000,86.0576923076923,89.50819672131148,80.48780487804878,82.88288288288288,90.0,82.6923076923077,89.16256157635468,83.53658536585365,88.81118881118881,90.78014184397163,86.04651162790698,86.21700879765396
6000,88.46153846153847,88.19672131147541,84.55284552845528,83.78378378378379,90.47619047619048,89.42307692307692,90.14778325123153,83.53658536585365,86.7132867132867,92.19858156028369,82.17054263565892,87.43192291579389
7000,87.98076923076923,88.52459016393442,87.8048780487805,85.13513513513513,90.95238095238095,87.5,90.64039408866995,86.58536585365853,89.5104895104895,90.0709219858156,81.3953488372093,87.97653958944281
8000,87.74038461538461,89.18032786885246,86.17886178861788,86.03603603603604,91.42857142857143,87.98076923076923,88.17733990147784,89.02439024390245,93.7062937062937,92.19858156028369,83.72093023255815,88.47926267281106
9000,88.70192307692308,90.1639344262295,87.39837398373983,86.48648648648648,89.52380952380952,90.38461538461539,91.6256157635468,89.63414634146342,91.60839160839161,92.90780141843972,87.59689922480621,89.44281524926686
10000,87.98076923076923,89.50819672131148,88.21138211382114,86.93693693693693,94.28571428571429,87.98076923076923,92.11822660098522,88.41463414634147,92.3076923076923,91.48936170212765,84.49612403100775,89.3171344784248
